Fecha y hora;Departamento;Jurisdicci®n ;Tipo de siniestro;VehÐculo;Rol;Edad;Sexo;Fallecido a los (DÐas);Otro vehÐculo;Lugar del Siniestro
01/01/2013 23:15;CANELONES;NACIONAL;COLISION CON OBSTACULO;MOTO;CONDUCTOR;34;F;0;;RUTA 101 km 24
01/01/2013 23:35;SALTO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;52;F;0;MOTO;MAGALLANES pr«x. Barrio Chinchurreta
03/01/2013 23:35;PAYSANDU;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;34;M;8;CAMION;RUTA 3 km. 358 
04/01/2013 07:10;COLONIA;NACIONAL;DESPISTE;AUTO;CONDUCTOR;49;F;1;;RUTA 21 esq. Dr Irastorza
04/01/2013 11:00;CANELONES;DEPARTAMENTAL;DESPISTE;AUTO;CONDUCTOR;91;M;0;;CESAR MAYO GUTIERREZ senda CAMINO PELUFFO
05/01/2013 00:20;RIVERA;DEPARTAMENTAL;DESPISTE;CAMIONETA;CONDUCTOR;56;M;0;;CAMINO VECINAL PASO DEL CERRO
06/01/2013 14:10;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;63;M;1;MOTO;AVENIDA LEZICA esq. GUANAHANY
06/01/2013 15:30;RIVERA;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;45;M;0;MOTO;RUTA 27 km 113
06/01/2013 18:21;FLORIDA;NACIONAL;DESPISTE;AUTO;PASAJERO;34;F;1;;RUTA 7 km. 145
06/01/2013 20:50;MALDONADO;DEPARTAMENTAL;COLISION CON OBSTACULO;MOTO;CONDUCTOR;20;M;1;;CONT. AGUSTONI ROSSI
08/01/2013 19:26;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;25;M;0;AUTO;AVENIDA JOSE BELLONI esq. MONTE CARLO
08/01/2013 20:10;MALDONADO;DEPARTAMENTAL;COLISION CON OBSTACULO;MOTO;CONDUCTOR;19;M;0;;CERRO EGUZQUIZA, LA BARRA
09/01/2013 05:45;ROCHA;NACIONAL;DESPISTE;CAMIONETA;CONDUCTOR;50;M;0;;RUTA 14 km. 490
09/01/2013 15:05;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;44;M;0;AUTO;CAMINO ARIEL esq. BELL
09/01/2013 22:30;CERRO LARGO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;20;M;1;CAMIONETA;JOSE ENRIQUE RODO esq. TREINTA Y TRES
09/01/2013 22:55;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;40;M;0;AUTO;AVENIDA DON PEDRO DE MENDOZA esq. CAMINO CARLOS LINNEO
10/01/2013 02:10;CANELONES;NACIONAL;DESPISTE;AUTO;CONDUCTOR;54;M;4;;RUTA 5 km 52
