FECHA Y HORA;DEPARTAMENTO;LOCALIDAD;JURISDICCION;TIPO DE SINIESTRO;VEHICULO;ROL;EDAD;SEXO;FALLECIDO A LOS (Dias);OTRO VEHICULO;LUGAR DEL SINIESTRO;X;Y
01/01/2014 07:30;CERRO LARGO;ISIDORO NOBLÍA;DEPARTAMENTAL;DESPISTE;AUTO;CONDUCTOR;26;M;1;;CAMINO SAN DIEGO KM 63;771431,5469;6459626,702
01/01/2014 22:58;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;41;M;2;CAMION;CAMINO DOMINGO ARENA esq. AVENIDA DON PEDRO DE MENDOZA;577116,5057;6146717,417
02/01/2014 17:20;TREINTA Y TRES;N/C;NACIONAL;DESPISTE;AUTO;CONDUCTOR;31;M;0;;RUTA 17 km. 303;758521,3639;6325115,787
03/01/2014 08:50;CANELONES;CANELONES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;9;M;0;CAMION;DOCTOR CRISTOBAL CENDAN esq. CAMINO MELGAREJO;565476,1736;6180421,434
04/01/2014 00:15;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;24;M;26;AUTO;BOULEVARD GENERAL ARTIGAS esq. AVENIDA INGENIERO LUIS PONCE;576405,4937;6137070,064
04/01/2014 09:05;CANELONES;N/C;NACIONAL;CAIDA;MOTO;CONDUCTOR;65;M;0;;RUTA 33 km. 23,200;581103,5889;6156323,483
05/01/2014 11:00;TACUAREMBO;N/C;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;26;M;0;AUTO;RUTA 43 km. 44;606804,2937;6403090,437
05/01/2014 11:00;TACUAREMBO;N/C;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;21;F;0;AUTO;RUTA 43 km. 44;606804,2937;6403090,437
05/01/2014 18:40;SAN JOSE;N/C;NACIONAL;COLISION CON OBSTACULO;MOTO;PASAJERO;44;M;1;;RUTA 23 km. 114;490894,8088;6240276,083
06/01/2014 22:30;MALDONADO;PIRIAPOLIS;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;50;M;1;CAMIONETA;RUTA 37 esq. MAÚA;658262,6789;6142943,069
