FECHA Y HORA;DEPARTAMENTO;LOCALIDAD;JURISDICCION;TIPO DE SINIESTRO;VEHICULO;ROL;EDAD;SEXO;FALLECIDO A LOS (DIAS);OTRO VEHICULO;LUGAR DEL SINIESTRO;X;Y
01/01/2015 17:00;CANELONES;CIUDAD DE LA COSTA;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;19;F;0;AUTO;CRUZ DEL SUR esq. RIO DE JANEIRO;592198,5527;6143355,813
02/01/2015 17:40;MALDONADO;N/C;NACIONAL;DESPISTE;CAMIONETA;CONDUCTOR;32;M;0;;RUTA 39 km. 42;696759,6;6170525,09
02/01/2015 19:35;ROCHA;CASTILLOS;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;37;F;0;OMNIBUS;RUTA 9 km. 264,700;790491,95;6211259,41
04/01/2015 06:00;RIO NEGRO;N/C;NACIONAL;COLISION CON OBSTACULO;MOTO;CONDUCTOR;23;M;0;;RUTA 3 km. 280;460161;6359752,59
04/01/2015 14:00;SALTO;SALTO;DEPARTAMENTAL;COLISION CON OBSTACULO;AUTO;PASAJERO;35;M;0;;AVENIDA JOSE ENRIQUE RODO esq. CHARRUA;410858,775;6527516,896
05/01/2015 12:40;CANELONES;N/C;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;87;M;0;CAMIONETA;RUTA 8 km. 23,500;589176,9225;6151919,538
05/01/2015 17:45;CANELONES;CIUDAD DE LA COSTA;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;22;M;0;CAMIONETA;MAR MEDITERRANEO esq. CIUDAD DE LA PAZ;598364,1627;6148393,277
07/01/2015 17:40;DURAZNO;N/C;NACIONAL;DESPISTE;AUTO;PASAJERO;16;F;0;;RUTA 14 km. 253;609535,0664;6317014,926
10/01/2015 08:45;CANELONES;PANDO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;26;M;1;CAMIONETA;WILSON FERREIRA ALDUNATE esq. ITUZAINGO;595309,2602;6157407,934
07/01/2015 22:50;CANELONES;ESTACION LA FLORESTA;DEPARTAMENTAL;ATROPELLO DE ANIMALES;MOTO;CONDUCTOR;41;M;0;;CALLE F esq. CALLE 13;620426,1307;6155325,584
12/01/2015 14:26;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;22;M;1;AUTO;LANUS esq. CAACUPE;570055,1434;6148405,935
13/01/2015 12:20;FLORES;N/C;NACIONAL;DESPISTE;AUTO;PASAJERO;79;F;0;;RUTA 3 km. 180;511620,0737;6283060,577
14/01/2015 06:00;MALDONADO;N/C;NACIONAL;DESPISTE;AUTO;CONDUCTOR;54;M;0;;RUTA 12 km. 364,700;680874,6665;6152768,534
15/01/2015 17:10;CANELONES;ATLANTIDA;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;86;F;1;CAMION;RUTA INTERBALNEARIA km. 46,600;614164,3313;6152258,714
