FECHA Y HORA;DEPARTAMENTO;JURISDICCION;TIPO DE SINIESTRO;VEHICULO;ROL;EDAD;SEXO;FALLECIDO A LOS (DIAS);OTRO VEHICULO;DIRECCION;X;Y
01/01/2017 05:50;MONTEVIDEO;NACIONAL;DESPISTE;MOTO;CONDUCTOR;39;M;0;;RAMBLA VEINTICINCO DE AGOSTO DE 1825 ESQ. JUAN CARLOS GOMEZ;572623,8628;6137495,057
02/01/2017 07:50;ROCHA;NACIONAL;DESPISTE;AUTO;CONDUCTOR;21;M;0;;RUTA 9 KM 18,000;730559,66;6164320,54
02/01/2017 07:10;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;62;F;0;OMNIBUS;EDUARDO VICTOR HAEDO ESQ. DOCTOR MARIO CASSINONI;576185,9833;6138222,29
02/01/2017 22:30;COLONIA;NACIONAL;DESPISTE;AUTO;PASAJERO;9;F;2;;RUTA 1 KM. 134,000;463490,61;6198967,92
03/01/2017 19:00;MONTEVIDEO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;PASAJERO;19;M;0;CAMIONETA;AVENIDA LUIS BATLLE BERRES ESQ. CAMINO LOS CAMALOTES;562062,554;6147573,101
04/01/2017 21:30;SALTO;DEPARTAMENTAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;33;M;4;MOTO;HERRERA Y OBES ESQ. OSIMANI Y LERENA;408743,0043;6528977,281
07/01/2017 17:10;SAN JOSE;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;36;M;1;AUTO;RUTA 1 KM. 75,000;516647,48;6180986,65
08/01/2017 07:00;RIVERA;DEPARTAMENTAL;CAÍDA;MOTO;CONDUCTOR;64;M;1;;AVENIDA ITALIA ESQ. SANTIAGO SIERRA;635984,3863;6578201,073
08/01/2017 07:50;LAVALLEJA;NACIONAL;DESPISTE;MOTO;CONDUCTOR;18;M;0;;RUTA 7 KM 207;673389,6308;6296292,486
09/01/2017 08:50;COLONIA;NACIONAL;DESPISTE;AUTO;CONDUCTOR;37;M;0;;RUTA 22 KM 9;427085,02;6216077,35
09/01/2017 08:50;COLONIA;NACIONAL;DESPISTE;AUTO;PASAJERO;32;M;0;;RUTA 22 KM 9;427085,02;6216077,35
09/01/2017 08:50;COLONIA;NACIONAL;DESPISTE;AUTO;PASAJERO;34;M;6;;RUTA 22 KM 9;427085,02;6216077,35
09/01/2017 13:52;MONTEVIDEO;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;PASAJERO;10;M;0;CAMION;RUTA 5 KM 14;566934,46;6149470,44
12/01/2017 05:00;PAYSANDU;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;47;M;0;CAMIONETA;RUTA 90 KM 14;409450,94;6420299,61
12/01/2017 15:18;MONTEVIDEO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;21;M;0;AUTO;AVENIDA LUIS BATLLE BERRES ESQ. NUEVO LLAMAS;563746,125;6146525,397
14/01/2017 16:00;FLORIDA;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;CONDUCTOR;35;M;0;CAMION;RUTA 5 Y RUTA 12;575411,9198;6222398,179
14/01/2017 16:00;FLORIDA;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;PASAJERO;22;F;0;CAMION;RUTA 5 Y RUTA 12;575411,9198;6222398,179
15/01/2017 21:51;MONTEVIDEO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;41;F;0;OMNIBUS;AVENIDA GENERAL EUGENIO GARZON ESQ. CAMINO CASAVALLE;571265,2626;6147500,928
15/01/2017 21:51;MONTEVIDEO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;PASAJERO;31;F;0;OMNIBUS;AVENIDA GENERAL EUGENIO GARZON ESQ. CAMINO CASAVALLE;571265,2626;6147500,928
16/01/2017 05:00;MONTEVIDEO;DEPARTAMENTAL;DESPISTE;AUTO;PASAJERO;23;M;0;;AVENIDA GENERAL FLORES ESQ. CARLOS REYLES;574734,7204;6139780,656
17/01/2017 11:30;CANELONES;DEPARTAMENTAL;CAÍDA;BICICLETA;CONDUCTOR;63;M;0;;CERRO LARGO ESQ. RIVERA;571033,3866;6163825,73
17/01/2017 06:12;MONTEVIDEO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;51;M;1;CAMION;BOULEVARD JOSE BATLLE Y ORDOÑEZ ESQ. GENERAL JULIO AMADEO ROLETTI;577441,5496;6140404,025
18/01/2017 04:00;CANELONES;DEPARTAMENTAL;CAÍDA;MOTO;CONDUCTOR;19;M;0;;CALLE 2 ESQ. CALLE 7;592571,6897;6158019,542
19/01/2017 18:23;MONTEVIDEO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;BICICLETA;CONDUCTOR;22;F;0;OMNIBUS;BOULEVARD ESPAÑA ESQ. ENRIQUE MUÑOZ;576941,166;6136302,09
19/01/2017 21:18;MONTEVIDEO;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;BICICLETA;CONDUCTOR;21;M;0;CAMION;RUTA 5 NRO. KM 9 ESQ. LUIS BATLLE BERRES;568220,6952;6144074,776
19/01/2017 18:55;SAN JOSE;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;26;M;0;CAMION;LAS ACACIAS ESQ. LAS CASUARINAS;553407,3117;6155484,694
22/01/2017 04:30;CANELONES;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;55;M;0;OMNIBUS;ALDABALDE ESQ. TISCORNIA;570172,4709;6153892,092
