Fechayhora;"Departamento";"Localidad";"Jurisdiccion ";"TipodeSiniestro";"Vehiculo";"Rol";Edad;"Sexo";FallecidoalosDias;"Otrovehiculo";"LugardelSiniestro";"X";"Y"
2019-01-02 13:30:00;"CANELONES";"PARQUE DEL PLATA";"NACIONAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";28;"F";10;"AUTO";"RUTA INTERBALNEARIA KM 51;000";"618263.27";"6153928.04"
2019-01-02 20:40:00;"TACUAREMBO";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"BICICLETA";"CONDUCTOR";51;"M";0;"CAMIONETA";"RUTA 26 KM 239;000";"601343.35";"6492627.09"
2019-01-04 12:30:00;"TACUAREMBO";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";60;"M";0;"CAMIONETA";"RUTA 26 KM 327;000";"670869.41";"6448843.47"
2019-01-05 07:55:00;"SAN JOSE";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"BICICLETA";"CONDUCTOR";70;"M";0;"CAMIONETA";"RUTA 11 KM 19;000";"499463.38";"6201245.29"
2019-01-05 12:54:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";77;"F";0;"CAMIONETA";"ACCESOS KM 4;400";"569373.30374535";"6140971.32153155"
2019-01-05 14:13:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"CAMION";"PASAJERO";70;"F";1;"AUTO";"JUAN JACOBO ROUSSEAU ESQ. HAVANA";"579069.9206";"6142002.1728"
2019-01-06 05:27:00;"CANELONES";"N/C";"NACIONAL";"DESPISTE";"AUTO";"CONDUCTOR";32;"M";0;;"RUTA 6 KM 39;500";"587240.73";"6169831.91"
2019-01-06 07:20:00;"SALTO";"SALTO";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";43;"M";3;;"AVENIDA MANUEL PATULE ESQUINA JOSE MARÍA GUTIERREZ";"405985.13292033";"6525416.77610315"
2019-01-06 09:53:00;"MALDONADO";"SAN RAFAEL";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";33;"M";1;"CAMION";"AVENIDA APARICIO SARAVIA FRENTE AL CAMPING";"691827.43837039";"6134141.18687316"
2019-01-06 19:00:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";29;"M";1;"AUTO";"ASAMBLEA ESQ. COLOMBES";"580728.8799";"6138533.0341"
2019-01-07 12:30:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"DESPISTE";"AUTO";"PASAJERO";1;"F";1;;"RUTA 102 KM 43;000";"571591.04";"6150195.46"
2019-01-07 13:30:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"DESPISTE";"CAMION";"CONDUCTOR";36;"M";0;;"RUTA 102 KM 31;000";"583096.23";"6149466.76"
2019-01-11 12:00:00;"PAYSANDU";"N/C";"NACIONAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";65;"M";0;"AUTO";"RUTA 3 KM 408;000";"419626.75";"6453768.35"
2019-01-12 21:05:00;"SAN JOSE";"CIUDAD DEL PLATA";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";56;"F";0;"CAMIONETA";"RUTA 1 KM 27;500";"554301.86";"6152931.57"
2019-01-12 23:29:00;"CANELONES";"N/C";"NACIONAL";"DESPISTE";"AUTO";"CONDUCTOR";23;"M";0;;"RUTA 101 KM 29;000";"593045.66";"6152752.66"
2019-01-13 16:15:00;"CANELONES";"SAN RAMON";"DEPARTAMENTAL";"DESPISTE";"CAMIONETA";"CONDUCTOR";83;"M";3;;"DIECIOCHO DE JULIO ESQ. DEFEMINIS";"596090.5903";"6205196.6006"
2019-01-14 15:15:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";50;"M";12;"CAMION";"NUEVA PALMIRA ESQ. CONSTITUCION";"575312.8149";"6138980.0326"
2019-01-15 08:15:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";23;"M";1;"CAMION";"RUTA 102 KM 35;000";"579242.01";"6149289.44"
2019-01-15 10:15:00;"CERRO LARGO";"RIO BRANCO";"NACIONAL";"DESPISTE";"AUTO";"PASAJERO";79;"F";5;;"RUTA 26 km 84;500";"837479.57081977";"6387138.37567135"
2019-01-17 02:48:00;"COLONIA";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";25;"M";0;"CAMIONETA";"RUTA 2 KM 138;000";"468821.22";"6208240.19"
2019-01-19 20:33:00;"CANELONES";"CITY GOLF";"NACIONAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";59;"F";0;"AUTO";"RUTA INTERBALNEARIA KM 45;000";"612621.23";"6152083.74"
