FECHA Y HORA	DEPARTAMENTO	LOCALIDAD	JURISDICCION	TIPO DE SINIESTRO	VEHICULO	ROL	EDAD	SEXO	FALLECIDO A LOS (DIAS)	OTRO VEHICULO	LUGAR DEL SINIESTRO	X	Y
02/01/2016 21:30	RIVERA	N/C	NACIONAL	ATROPELLO DE PEATÓN	PEATÓN	PEATÓN	83	M	0	CAMIONETA	RUTA 5 km. 481	634090,0326	6565694,636
03/01/2016 15:25	MALDONADO	ESTACION LAS FLORES	NACIONAL	DESPISTE	AUTO	CONDUCTOR	78	F	1		RUTA 9 km. 87	652988,9933	6149296,521
03/01/2016 20:20	CANELONES	ATLANTIDA	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	65	M	0	MOTO	RUTA INTERBALNEARIA km. 46	613580,9557	6152173,216
04/01/2016 17:25	CANELONES	PARQUE DEL PLATA	NACIONAL	ATROPELLO DE PEATÓN	PEATÓN	PEATÓN	70	M	1	CAMIONETA	RUTA INTERBALNEARIA y CALLE 19	617437,4708	6153631,471
06/01/2016 09:30	MALDONADO	N/C	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	AUTO	CONDUCTOR	65	M	0	CAMIONETA	RUTA 9 y RUTA 104	695045,9131	6148944,147
06/01/2016 09:30	MALDONADO	N/C	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	AUTO	PASAJERO	65	M	0	CAMIONETA	RUTA 9 y RUTA 104	695045,9131	6148944,147
06/01/2016 18:00	MALDONADO	SOLIS	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	AUTO	PASAJERO	66	F	1	AUTO	RUTA INTERBALNEARIA km. 82,500	648793,487	6149417,172
07/01/2016 11:40	CANELONES	CAPITAN JUAN ANTORIO ARTIGAS	NACIONAL	CAÍDA	MOTO	CONDUCTOR	37	M	0		RUTA 8 km. 26	591194,2231	6153774,575
09/01/2016 00:55	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	PASAJERO	33	M	1	AUTO	MIGUELETE esq. DEFENSA	575455,3724	6138580,735
09/01/2016 02:25	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	58	M	0	OMNIBUS	AVENIDA BURGUES esq. MAXIMO GOMEZ	574698,2617	6142780,272
09/01/2016 04:20	MALDONADO	EL TESORO	DEPARTAMENTAL	DESPISTE	AUTO	PASAJERO	N	F	0		CAMINO EGUZQUIZA CASI EL QUIJOTE	694803,5619	6137012,422
11/01/2016 20:00	CERRO LARGO	MELO	DEPARTAMENTAL	CAÍDA	MOTO	CONDUCTOR	40	M	0		MANUEL A. LESTIDO esq. TACUARÍ	767263,7696	6415515,67
11/01/2016 20:34	CANELONES	N/C	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	BICICLETA	CONDUCTOR	42	M	1	CAMIONETA	RUTA 11 km. 136,400	600994,1604	6177453,411
13/01/2016 05:45	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	50	M	0	AUTO	BOULEVARD GENERAL ARTIGAS esq. CARABELAS	574600,4799	6140970,491
13/01/2016 10:44	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	CAMIONETA	CONDUCTOR	37	M	0	CAMIONETA	RAMBLA TOMAS BERRETA esq. GENERAL SANTANDER	587250,0226	6139105,93
13/01/2016 12:55	FLORIDA	FLORIDA	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	BICICLETA	CONDUCTOR	46	M	0	AUTO	RUTA 5 km. 99,500	570931,59	6229061,68
15/01/2016 12:35	MALDONADO	N/C	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	AUTO	PASAJERO	78	M	0	CAMIONETA	RUTA INTERBALNEARIA Y RUTA 10	650911,4808	6150383,167
15/01/2016 12:35	MALDONADO	N/C	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	AUTO	CONDUCTOR	65	F	0	CAMIONETA	RUTA INTERBALNEARIA Y RUTA 10	650911,4808	6150383,167
15/01/2016 15:00	CANELONES	N/C	NACIONAL	DESPISTE	CAMIONETA	CONDUCTOR	54	M	0		RUTA 107 km. 17,500	571769,9496	6176786,52
